ID	LABEL
AG-459-C18	#8E06CD
AG-459-P07	#8E06CD
AG-463-A20	#ED0DFD
AG-463-D13	#ED0DFD
AG-463-D18	#ED0DFD
AG-463-F02	#009FFA
AG-463-F15	#ED0DFD
AG-463-I04	#ED0DFD
AG-463-J16	#ED0DFD
AG-463-L06	#ED0DFD
AG-463-N15	#ED0DFD
AG-463-P14	#ED0DFD
AG-463-P23	#009FFA
AG-673-K22	#8E06CD
AG-679-I23	#8E06CD
LG	#CDE494
MIT0601	#CDE494
MIT0602	#CDE494
MIT0603	#CDE494
MIT0701	#009FFA
MIT0702	#009FFA
MIT0703	#009FFA
MIT0801	#8E06CD
MIT0912	#8E06CD
MIT0913	#8E06CD
MIT0915	#8E06CD
MIT0917	#8E06CD
MIT0918	#CDE494
MIT0919	#CDE494
MIT1013	#8E06CD
MIT1205	#009FFA
MIT1214	#8E06CD
MIT1223	#00C2F9
MIT1227	#009FFA
MIT1300	#ED0DFD
MIT1303	#009FFA
MIT1304	#CDE494
MIT1306	#009FFA
MIT1307	#ED0DFD
MIT1312	#009FFA
MIT1313	#009FFA
MIT1318	#009FFA
MIT1320	#009FFA
MIT1323	#009FFA
MIT1327	#009FFA
MIT1341	#ED0DFD
MIT1342	#009FFA
MIT1418	#009FFA
MIT9211	#CDE494
MIT9303	#009FFA
MIT9313	#009FFA
NATL1A	#8E06CD
NATL2A	#8E06CD
PAC1	#8E06CD
SS120	#CDE494
SS2	#CDE494
SS35	#CDE494
SS51	#CDE494
SS52	#CDE494
